post_id,platform,original_text,engagement_score,date_posted,tone,tags
EP0060,Twitter,العالم الرقمي يتغير بسرعة، ومع كل تغيير تأتي فرص جديدة وتحديات متجددة. كيف تستعد لمواجهة تحديات المستقبل في عصر التقنية المتطورة؟,415,2021-01-28,Inspirational,"Future, Technology"
SD0001,Twitter,Enjoying a beautiful day at the park!,45,2023-01-15,Positive,#Nature #Park
SD0002,Twitter,Traffic was terrible this morning.,15,2023-01-15,Negative,#Traffic #Morning
SD0003,Instagram,Just finished an amazing workout! 💪,60,2023-01-15,Positive,#Fitness #Workout
SD0004,Facebook,Excited about the upcoming weekend getaway!,23,2023-01-15,Positive,#Travel #Adventure
SD0005,Instagram,Trying out a new recipe for dinner tonight.,37,2023-01-15,Neutral,#Cooking #Food
SD0006,Twitter,Feeling grateful for the little things in life.,75,2023-01-16,Positive,#Gratitude #PositiveVibes
SD0007,Facebook,Rainy days call for cozy blankets and hot cocoa.,30,2023-01-16,Positive,#RainyDays #Cozy
SD0008,Instagram,The new movie release is a must-watch!,45,2023-01-16,Positive,#MovieNight #MustWatch
SD0009,Twitter,Political discussions heating up on the timeline.,90,2023-01-17,Negative,#Politics #Debate
SD0010,Facebook,Missing summer vibes and beach days.,53,2023-01-17,Neutral,#Summer #BeachDays
SD0011,Instagram,Just published a new blog post. Check it out!,67,2023-01-17,Positive,#Blogging #NewPost
SD0012,Twitter,Feeling a bit under the weather today.,22,2023-01-18,Negative,#SickDay #Health
SD0013,Facebook,Exploring the city's hidden gems.,37,2023-01-18,Positive,#CityExplore #HiddenGems
SD0014,Instagram,"New year, new fitness goals! 💪",83,2023-01-18,Positive,#NewYear #FitnessGoals
SD0015,Twitter,Technology is changing the way we live.,45,2023-01-19,Neutral,#Tech #Innovation
SD0016,Facebook,Reflecting on the past and looking ahead.,60,2023-01-19,Positive,#Reflection #Future
SD0017,Instagram,Just adopted a cute furry friend! 🐾,45,2023-01-19,Positive,#PetAdoption #FurryFriend
SD0018,Twitter,Late-night gaming session with friends.,53,2023-01-20,Positive,#Gaming #LateNight
SD0019,Facebook,Attending a virtual conference on AI.,75,2023-01-20,Neutral,#AI #TechConference
SD0020,Instagram,Winter blues got me feeling low.,23,2023-01-20,Negative,#WinterBlues #Mood
SD0021,Twitter,Sipping coffee and enjoying a good book.,67,2023-01-21,Positive,#Reading #CoffeeTime
SD0022,Facebook,Exploring the world of virtual reality.,45,2023-01-21,Positive,#VR #VirtualReality
SD0023,Instagram,Productive day ticking off my to-do list.,90,2023-01-21,Positive,#Productivity #WorkFromHome
SD0024,Twitter,Just finished a challenging workout routine.,60,2023-01-22,Positive,#Fitness #ChallengeAccepted
SD0025,Facebook,Celebrating a milestone at work! 🎉,37,2023-01-22,Positive,#Career #Milestone
SD0026,Instagram,Sunday brunch with friends.,45,2023-01-22,Positive,#Brunch #Friends
SD0027,Facebook,Learning a new language for personal growth.,75,2023-01-23,Positive,#LanguageLearning #PersonalGrowth
SD0028,Instagram,Quiet evening with a good book.,45,2023-01-23,Positive,#Reading #QuietTime
SD0029,Twitter,Reflecting on the importance of mental health.,67,2023-01-24,Positive,#MentalHealth #SelfCare
SD0030,Facebook,New painting in progress! 🎨,37,2023-01-24,Positive,#Art #PaintingInProgress
SD0031,Instagram,Weekend road trip to explore scenic views.,53,2023-01-24,Positive,#RoadTrip #ScenicViews
SD0032,Twitter,Enjoying a cup of tea and watching the sunset.,45,2023-01-25,Positive,#TeaTime #Sunset
SD0033,Facebook,Coding a new project with enthusiasm.,90,2023-01-25,Positive,#Coding #Enthusiasm
SD0034,Instagram,Feeling inspired after attending a workshop.,75,2023-01-26,Positive,#Inspiration #Workshop
SD0035,Twitter,Winter sports day at the local park.,45,2023-01-26,Positive,#WinterSports #Fun
SD0036,Facebook,Quality time with family this weekend.,67,2023-01-26,Positive,#FamilyTime #Weekend
SD0037,Instagram,Attending a live music concert tonight.,53,2023-01-27,Positive,#Music #ConcertNight
SD0038,Twitter,Practicing mindfulness with meditation.,45,2023-01-27,Positive,#Mindfulness #Meditation
SD0039,Facebook,Trying out a new dessert recipe.,37,2023-01-27,Positive,#Dessert #Cooking
SD0040,Instagram,Excited about the upcoming gaming tournament.,90,2023-01-28,Positive,#Gaming #Tournament
SD0041,Twitter,Planning a garden makeover for spring.,75,2023-01-28,Positive,#Gardening #Spring
SD0042,Facebook,Celebrating a friend's birthday tonight! 🎂,45,2023-01-28,Positive,#Birthday #Celebration
SD0043,Instagram,Feeling accomplished after a productive day.,67,2023-01-29,Positive,#Accomplished #Success
SD0044,Twitter,A cozy evening with a good movie.,53,2023-01-29,Positive,#CozyNight #MovieTime
SD0045,Facebook,Exploring local art galleries this weekend.,45,2023-01-30,Positive,#Art #GalleryExplore
SD0046,Instagram,New book release from my favorite author!,37,2023-01-30,Positive,#BookRelease #FavoriteAuthor
SD0047,Twitter,Attending a virtual reality meetup.,83,2023-01-30,Positive,#VRMeetup #VirtualReality
SD0048,Facebook,Reflecting on the beauty of nature.,45,2023-01-31,Positive,#Nature #Reflection
SD0049,Instagram,Cooking a special dinner for loved ones.,60,2023-01-31,Positive,#Cooking #SpecialDinner
SD0050,Twitter,Feeling optimistic about the week ahead.,45,2023-01-31,Positive,#Optimism #NewWeek
SD0051,Facebook,Starting a new fitness challenge tomorrow! 💪,67,2023-02-01,Positive,#FitnessChallenge #NewBeginnings
SD0052,Instagram,Sunday bike ride through scenic trails.,53,2023-02-01,Positive,#BikeRide #ScenicTrails
SD0053,Twitter,Can't believe the injustice happening in our society.,60,2023-02-11,Anger,#Injustice #Angry
SD0054,Instagram,Feeling a sense of fear after watching a thriller movie.,45,2023-02-11,Fear,#Fear #ThrillerMovie
SD0055,Facebook,Heartbroken after hearing the news about a natural disaster.,75,2023-02-12,Sadness,#Sadness #NaturalDisaster
SD0056,Twitter,The state of the world's environment is just disgusting.,53,2023-02-12,Disgust,#Disgust #Environment
SD0057,Instagram,Pure happiness: celebrating a loved one's achievement!,90,2023-02-13,Happiness,#Happiness #Celebration
SD0058,Facebook,Laughter is the best medicine—enjoying a comedy show.,67,2023-02-13,Joy,#Joy #ComedyShow
SD0059,Twitter,Sharing love and positive vibes with everyone! ❤️,45,2023-02-14,Love,#Love #SpreadLove
SD0060,Instagram,An amusing incident brightened up my day!,53,2023-02-14,Amusement,#Amusement #FunTimes
SD0061,Facebook,Enjoying a quiet evening with a book and some tea.,75,2023-02-14,Enjoyment,#Enjoyment #BookTime
SD0062,Twitter,Admiring the beauty of nature during a peaceful hike.,60,2023-02-15,Admiration,#Admiration #Nature
SD0063,Instagram,Sending affectionate vibes to all my followers!,45,2023-02-15,Affection,#Affection #PositiveVibes
SD0064,Facebook,Experiencing awe at the breathtaking sunset.,67,2023-02-15,Awe,#Awe #Breathtaking
SD0065,Twitter,Disappointed with the service at a local restaurant.,53,2023-02-16,Disappointed,#Disappointed #BadService
SD0066,Instagram,A surprise gift from a friend made my day!,75,2023-02-16,Surprise,#Surprise #Gift
SD0067,Facebook,Finding acceptance in the midst of life's challenges.,45,2023-02-16,Acceptance,#Acceptance #Challenges
SD0068,Twitter,Overflowing with adoration for my adorable pet! 🐾,67,2023-02-17,Adoration,#Adoration #PetLove
SD0069,Instagram,Anticipating a thrilling adventure in the coming weeks.,60,2023-02-17,Anticipation,#Anticipation #Adventure
SD0070,Facebook,A bitter experience turned into a valuable lesson.,53,2023-02-17,Bitter,#BitterLesson #Growth
SD0071,Twitter,Finding calmness in the midst of a busy day.,45,2023-02-18,Calmness,#Calmness #PeacefulMind
SD0072,Instagram,Confusion clouds my mind as I navigate through decisions.,75,2023-02-18,Confusion,#Confusion #DecisionMaking
SD0073,Facebook,Excitement building up for the upcoming vacation!,67,2023-02-18,Excitement,#Excitement #TravelPlans
SD0074,Twitter,Kindness witnessed today restored my faith in humanity.,60,2023-02-19,Kind,#Kindness #Humanity
SD0075,Instagram,Pride in achieving a personal milestone.,90,2023-02-19,Pride,#Pride #Milestone
SD0076,Facebook,A moment of shame for not standing up against injustice.,45,2023-02-19,Shame,#Shame #Injustice
SD0077,Twitter,Fuming with anger after a heated argument.,60,2023-02-20,Anger,#Anger #Argument
SD0078,Instagram,The fear of the unknown is keeping me up at night.,45,2023-02-20,Fear,#Fear #Unknown
SD0079,Facebook,Heartfelt sadness after bidding farewell to a dear friend.,75,2023-02-21,Sadness,#Sadness #Farewell
SD0080,Twitter,The state of corruption in our society is utterly disgusting.,53,2023-02-21,Disgust,#Disgust #Corruption
SD0081,Instagram,Overflowing happiness: welcoming a new family member!,90,2023-02-22,Happiness,#Happiness #NewFamilyMember
SD0082,Facebook,Laughter is the key to joy—attending a stand-up comedy show.,67,2023-02-22,Joy,#Joy #StandUpComedy
SD0083,Twitter,Sending love to all my followers on this beautiful day! ❤️,45,2023-02-23,Love,#Love #SpreadLove
SD0084,Instagram,Amused by the antics of my pet—it's pure amusement!,53,2023-02-23,Amusement,#Amusement #PetAntics
SD0085,Facebook,Enjoying every moment of this trip—pure enjoyment!,75,2023-02-23,Enjoyment,#Enjoyment #Travel
SD0086,Twitter,Admiring the dedication of volunteers at a local charity.,60,2023-02-24,Admiration,#Admiration #Volunteers
SD0087,Instagram,Sending affectionate vibes to friends and family.,45,2023-02-24,Affection,#Affection #FamilyLove
SD0088,Facebook,Awe-struck by the beauty of the night sky.,67,2023-02-24,Awe,#Awe #StarryNight
SD0089,Twitter,Disappointed with the lack of progress in a personal project.,53,2023-02-25,Disappointed,#Disappointed #Project
SD0090,Instagram,A surprise visit from an old friend brought tears of joy.,75,2023-02-25,Surprise,#Surprise #OldFriends
SD0091,Facebook,Embracing acceptance of life's ups and downs.,45,2023-02-25,Acceptance,#Acceptance #LifeJourney
SD0092,Twitter,Overflowing adoration for a cute rescue puppy! 🐶,67,2023-02-26,Adoration,#Adoration #PuppyLove
SD0093,Instagram,Anticipating the release of a much-awaited movie.,60,2023-02-26,Anticipation,#Anticipation #MovieRelease
SD0094,Facebook,Bitter experience at the customer service department.,53,2023-02-26,Bitter,#BitterExperience #CustomerService
SD0095,Twitter,Finding calmness amidst the chaos of daily life.,45,2023-02-27,Calmness,#Calmness #InnerPeace
SD0096,Instagram,Confusion reigns as I try to make sense of recent events.,75,2023-02-27,Confusion,#Confusion #MakingSense
SD0097,Facebook,Excitement building up for a surprise birthday party.,67,2023-02-27,Excitement,#Excitement #SurpriseParty
SD0098,Twitter,Witnessed an act of kindness that made my day.,60,2023-02-28,Kind,#Kindness #ActsOfKindness
SD0099,Instagram,Pride in completing a challenging fitness challenge.,90,2023-02-28,Pride,#Pride #FitnessChallengeCompleted
SD0100,Facebook,A moment of shame for not speaking up against injustice.,45,2023-02-28,Shame,#Shame #Injustice
SD0101,Twitter,Reflecting on the beauty of diversity in our world.,67,2023-03-01,Acceptance,#Acceptance #Diversity
SD0102,Instagram,Excitement for a quiet evening with a good book.,53,2023-03-01,Excitement,#Excitement #BookTime
SD0103,Twitter,Feeling bitter about the unfairness in the workplace.,45,2023-03-01,Bitter,#Bitter #Unfairness
SD0104,Facebook,Calmness prevails as I practice mindfulness.,45,2023-03-02,Calmness,#Calmness #Mindfulness
SD0105,Instagram,Confusion surrounds me as I navigate through life's choices.,90,2023-03-02,Confusion,#Confusion #LifeChoices
SD0106,Twitter,Excitement for a weekend road trip to explore new places.,75,2023-03-02,Excitement,#Excitement #WeekendAdventure
SD0107,Facebook,Kindness witnessed today restores my faith in humanity.,67,2023-03-03,Kind,#Kindness #HumanityRestored
SD0108,Instagram,Pride in accomplishing personal and professional goals.,37,2023-03-03,Pride,#Pride #Accomplishments
SD0109,Twitter,Shame for not being true to my values in a difficult situation.,45,2023-03-03,Shame,#Shame #Integrity
SD0110,Twitter,"Revisiting old memories, feeling a sense of elation.",60,2010-05-15,Elation,#Elation #Memories
SD0111,Instagram,The victory of our team brought euphoria to the city.,45,2021-08-10,Euphoria,#Euphoria #Victory
SD0112,Facebook,"Embracing the beauty of nature, a moment of contentment.",75,2011-06-20,Contentment,#Contentment #Nature
SD0113,Twitter,"Meditating by the serene lake, finding inner peace.",53,2022-02-12,Serenity,#Serenity #Meditation
SD0114,Instagram,Overflowing with gratitude for life's blessings.,90,2012-11-25,Gratitude,#Gratitude #Blessed
SD0115,Facebook,"Hopeful for a brighter tomorrow, despite challenges.",67,2013-04-05,Hope,#Hope #Optimism
SD0116,Twitter,Empowered to make a difference in my community.,45,2014-09-14,Empowerment,#Empowerment #Community
SD0117,Instagram,Compassion in action: supporting a local charity event.,53,2015-07-18,Compassion,#Compassion #CharityEvent
SD0118,Facebook,"A moment of tenderness, connecting with loved ones.",75,2016-02-23,Tenderness,#Tenderness #FamilyTime
SD0119,Twitter,Arousal of excitement as I await a special announcement.,60,2017-10-30,Arousal,#Arousal #Excitement
SD0120,Instagram,Enthusiastically diving into a new project.,45,2018-06-15,Enthusiasm,#Enthusiasm #NewProject
SD0121,Facebook,Feeling a sense of fulfillment after reaching a milestone.,67,2019-03-28,Fulfillment,#Fulfillment #Milestone
SD0122,Twitter,Reverence for the beauty of a historic landmark.,53,2019-11-11,Reverence,#Reverence #History
SD0123,Instagram,Elation after a surprise reunion with old friends.,75,2020-04-02,Elation,#Elation #OldFriends
SD0124,Facebook,The euphoria of a live music concert under the stars.,45,2021-06-19,Euphoria,#Euphoria #LiveMusic
SD0125,Twitter,Contentment in the simplicity of a quiet Sunday.,90,2010-08-15,Contentment,#Contentment #SundayMood
SD0126,Instagram,Serenity found in the pages of a favorite book.,67,2011-09-22,Serenity,#Serenity #BookTime
SD0127,Facebook,Gratitude for the support received during tough times.,45,2012-03-10,Gratitude,#Gratitude #Supportive
SD0128,Twitter,Hopeful about the possibilities of a new journey.,53,2013-12-05,Hope,#Hope #NewBeginnings
SD0129,Instagram,Empowerment through learning and personal growth.,75,2014-07-20,Empowerment,#Empowerment #PersonalGrowth
SD0130,Facebook,Compassion towards those in need during the holidays.,53,2015-12-22,Compassion,#Compassion #HolidaySupport
SD0131,Twitter,Tenderness in the warmth of a cozy winter evening.,75,2016-02-10,Tenderness,#Tenderness #CozyEvening
SD0132,Instagram,Arousal of excitement for an upcoming adventure.,60,2017-04-30,Arousal,#Arousal #AdventureTime
SD0133,Facebook,Enthusiasm for a creative project in the making.,45,2018-09-15,Enthusiasm,#Enthusiasm #Creativity
SD0134,Twitter,Fulfillment in completing a challenging workout routine.,67,2019-06-28,Fulfillment,#Fulfillment #FitnessGoals
SD0135,Instagram,Reverence for the artistry displayed in a museum.,53,2020-11-11,Reverence,#Reverence #ArtAppreciation
SD0136,Facebook,Elation after achieving a personal goal.,75,2021-03-02,Elation,#Elation #PersonalAchievement
SD0137,Twitter,Elation over discovering a hidden gem in the city.,60,2012-02-18,Elation,#Elation #HiddenGem
SD0138,Instagram,The euphoria of a surprise birthday celebration.,45,2018-11-05,Euphoria,#Euphoria #BirthdaySurprise
SD0139,Facebook,Contentment in the simplicity of a home-cooked meal.,75,2015-09-12,Contentment,#Contentment #HomeCooking
SD0140,Twitter,Serenity found in the melody of a peaceful piano.,53,2016-07-30,Serenity,#Serenity #PeacefulMelody
SD0141,Instagram,Gratitude for the supportive community around me.,90,2013-04-20,Gratitude,#Gratitude #CommunitySupport
SD0142,Facebook,Hopeful about the prospects of a new business venture.,67,2017-12-08,Hope,#Hope #BusinessVenture
SD0143,Twitter,Empowerment through mentoring and guiding others.,45,2014-06-03,Empowerment,#Empowerment #Mentorship
SD0144,Instagram,Compassion shown through acts of kindness in the community.,53,2019-01-15,Compassion,#Compassion #CommunityKindness
SD0145,Facebook,Tenderness in a heartfelt message to a loved one.,75,2016-12-25,Tenderness,#Tenderness #LoveNote
SD0146,Twitter,Arousal of excitement before a much-awaited trip.,60,2018-03-10,Arousal,#Arousal #TravelAdventure
SD0147,Instagram,Enthusiasm for a new artistic project in the works.,45,2020-09-17,Enthusiasm,#Enthusiasm #ArtisticProject
SD0148,Facebook,Feeling a sense of fulfillment after helping others.,67,2011-08-28,Fulfillment,#Fulfillment #HelpingOthers
SD0149,Twitter,Reverence for the historical significance of a landmark.,53,2017-11-01,Reverence,#Reverence #HistoricalSite
SD0150,Instagram,Elation after achieving a fitness milestone.,75,2019-06-15,Elation,#Elation #FitnessMilestone
SD0151,Facebook,The euphoria of a successful product launch.,45,2022-04-03,Euphoria,#Euphoria #ProductLaunchSuccess
SD0152,Twitter,Contentment in the embrace of a loved one.,90,2010-11-12,Contentment,#Contentment #Love
SD0153,Instagram,Serenity found in the beauty of a sunset by the sea.,67,2011-07-22,Serenity,#Serenity #SunsetViews
SD0154,Facebook,Gratitude for the small joys that each day brings.,45,2012-03-30,Gratitude,#Gratitude #SmallJoys
SD0155,Twitter,Hopeful about the potential for personal growth.,53,2013-10-05,Hope,#Hope #PersonalDevelopment
SD0156,Instagram,Empowerment through learning a new skill.,75,2014-07-10,Empowerment,#Empowerment #SkillBuilding
SD0157,Facebook,Compassion in volunteering for a local charity.,53,2015-12-18,Compassion,#Compassion #VolunteerWork
SD0158,Twitter,Tenderness in a quiet moment shared with a pet.,75,2016-02-10,Tenderness,#Tenderness #PetLove
SD0159,Instagram,Arousal of excitement for an upcoming festival.,60,2017-09-25,Arousal,#Arousal #FestivalExcitement
SD0160,Facebook,Enthusiasm for a DIY home improvement project.,45,2018-04-15,Enthusiasm,#Enthusiasm #HomeImprovement
SD0161,Twitter,Fulfillment in completing a challenging puzzle.,67,2019-11-28,Fulfillment,#Fulfillment #PuzzleChallenge
SD0162,Instagram,Reverence for the wonders of nature on a hiking trail.,53,2020-05-11,Reverence,#Reverence #NatureExploration
SD0163,Facebook,Elation after a surprise reunion with a childhood friend.,75,2021-02-05,Elation,#Elation #FriendshipReunion
SD0164,Twitter,Suffering from despair after another setback.,15,2021-03-10,Despair,#Despair #Struggle
SD0165,Instagram,"Overwhelmed by grief, missing a loved one dearly.",23,2022-07-05,Grief,#Grief #Loss
SD0166,Facebook,Loneliness creeps in as the night grows colder.,30,2019-11-18,Loneliness,#Loneliness #Isolation
SD0167,Twitter,Jealousy consumes me as I witness others' success.,37,2020-08-12,Jealousy,#Jealousy #Envy
SD0168,Instagram,Resentment building up over past betrayals.,22,2018-05-22,Resentment,#Resentment #Bitterness
SD0169,Facebook,Frustration mounts as obstacles block my path.,30,2017-01-30,Frustration,#Frustration #Obstacles
SD0170,Twitter,"Boredom sets in, the day feels endlessly dull.",23,2016-09-28,Boredom,#Boredom #LackOfInterest
SD0171,Instagram,"Anxiety grips my heart, worry clouds my thoughts.",37,2019-04-15,Anxiety,#Anxiety #Worry
SD0172,Facebook,Intimidation by the unknown future ahead.,45,2021-12-03,Intimidation,#Intimidation #Fear
SD0173,Twitter,Helplessness sinks in as challenges pile up.,23,2020-06-20,Helplessness,#Helplessness #Overwhelmed
SD0174,Instagram,Envy eats away at me as I see others' prosperity.,30,2018-11-07,Envy,#Envy #Desire
SD0175,Facebook,Regret over missed opportunities haunts my thoughts.,37,2017-08-25,Regret,#Regret #MissedChances
SD0176,Twitter,Disgust at the sight of injustice and cruelty.,22,2019-02-11,Disgust,#Disgust #Injustice
SD0177,Instagram,"Drowning in despair, hope slipping through my fingers.",30,2016-04-02,Despair,#Despair #Hopeless
SD0178,Facebook,"Grief weighs heavy, tears a constant companion.",37,2015-10-18,Grief,#Grief #Tears
SD0179,Twitter,"Loneliness in a crowded room, a silent cry for connection.",45,2019-07-12,Loneliness,#Loneliness #SeekingConnection
SD0180,Instagram,"Jealousy gnaws at my confidence, a toxic emotion.",23,2018-06-03,Jealousy,#Jealousy #Insecurity
SD0181,Facebook,"Resentment festers, poisoning relationships.",30,2022-01-15,Resentment,#Resentment #BrokenTrust
SD0182,Twitter,"Frustration boils over, a volcanic eruption of emotions.",37,2017-04-10,Frustration,#Frustration #EmotionalOutburst
SD0183,Instagram,"Boredom settles like dust, life feels mundane.",22,2016-11-28,Boredom,#Boredom #Monotony
SD0184,Facebook,"Anxiety grips my chest, a relentless grip on my thoughts.",30,2018-09-05,Anxiety,#Anxiety #Restlessness
SD0185,Twitter,"Intimidation by the challenges ahead, fear takes hold.",45,2021-10-22,Intimidation,#Intimidation #FacingFear
SD0186,Instagram,"Helplessness engulfs me, drowning in a sea of problems.",23,2019-05-08,Helplessness,#Helplessness #Struggling
SD0187,Facebook,"Envy poisons my thoughts, coveting others' success.",30,2017-03-20,Envy,#Envy #Success
SD0188,Twitter,Regret for decisions that led to a painful present.,37,2018-12-15,Regret,#Regret #PastChoices
SD0189,Instagram,Disgust at the corruption that stains society.,22,2016-07-01,Disgust,#Disgust #Corruption
SD0190,Facebook,"Sinking in despair, each day darker than the last.",30,2020-08-20,Despair,#Despair #DarkDays
SD0191,Twitter,"Grief overwhelms, a storm of emotions within.",37,2021-02-25,Grief,#Grief #EmotionalStorm
SD0192,Instagram,"Loneliness echoes in empty spaces, yearning for connection.",45,2019-09-12,Loneliness,#Loneliness #YearningForConnection
SD0193,Facebook,"Jealousy poisons my thoughts, resentment brewing within.",23,2018-08-05,Jealousy,#Jealousy #Resentment
SD0194,Twitter,"Resentment festers, a wound that refuses to heal.",30,2017-01-12,Resentment,#Resentment #Unforgiving
SD0195,Instagram,"Frustration escalates, a thunderstorm of emotions.",37,2022-04-05,Frustration,#Frustration #EmotionalOutburst
SD0196,Facebook,"Boredom lingers, a stagnant pool of indifference.",22,2021-10-02,Boredom,#Boredom #Stagnation
SD0197,Twitter,"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",45,2023-04-15,Curiosity,#Curiosity #Learning
SD0198,Instagram,"Lost in the vast sea of information, an indifferent wave in the digital ocean.",22,2022-11-28,Indifference,#Indifference #DigitalOverload
SD0199,Facebook,"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",30,2020-04-02,Confusion,#Confusion #LifePuzzle
SD0200,Twitter,"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",23,2021-08-10,Numbness,#Numbness #EmotionalShield
